species,a10,a11,a12,a5,a6,a7,a8,a9,b10,b11,b12,b1,b2,b3,b4,b5,b6,b7,b8,b9,c10,c11,c12,c1,c2,c3,c4,c5,c6,c7,c9,d10,d11,d12,d1
actinomyces_johnsonii,3,79,4,3,8,1,12,2,0,1,49,4,1,12,2,0,11,10,4,10,75,2,3,4,1,1,47,5,11,2,55,187,60,17,5
actinomyces_liubingyangii,0,1,2,2,0,0,0,0,0,0,0,2,3,0,0,0,0,2,1,0,3,0,0,3,0,0,1,1,0,0,7,12,0,1,0
actinomyces_massiliensis,44,14,6,10,50,17,33,6,8,6,166,13,31,51,22,14,3,36,18,12,10,9,5,22,0,19,34,12,14,8,42,134,151,43,4
actinomyces_meyeri,0,0,0,2,6,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,10,1,3,1,0,1,4,3,2,1,308,5,13,0,0
actinomyces_odontolyticus,10,17,12,35,356,57,33,16,7,2,19,13,101,73,11,59,5,204,44,11,2571,60,198,48,10,248,1343,100,98,14,3264,17,386,97,30
actinomyces_oris,73,16,9,49,110,14,100,16,7,96,459,21,95,47,90,20,16,175,57,82,108,21,21,13,5,148,45,16,45,128,241,97,105,83,49
actinomyces_polynesiensis,0,2,5,1,1,0,3,0,2,3,1,1,7,0,1,3,0,0,6,2,2,0,0,10,0,5,8,6,5,21,29,2,0,4,0
actinomyces_provencensis,7,0,0,2,0,3,2,0,0,1,1,0,27,1,22,0,1,2,4,0,3,0,0,4,0,7,7,1,2,0,39,11,0,1,0
actinomyces_radicidentis,0,0,2,12,3,12,1,0,2,0,5,0,10,1,0,4,1,2,2,4,5,1,0,2,0,1,19,0,1,1,27,8,6,2,0
actinomyces_radingae,0,1,0,0,6,0,0,0,0,0,0,0,1347,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,4,0,1
actinomyces_ruminicola,2,1,12,3,3,4,3,0,2,0,1,1,45,3,6,4,0,0,2,4,1,0,0,49,0,2,22,4,4,13,9,34,5,5,1
actinomyces_timonensis,2,0,1,1,2,1,1,0,0,1,4,0,12,0,2,1,0,3,0,2,1,0,1,0,0,2,1,5,0,1,8,10,6,5,1
